Site_Name,Hrs_On,Oil,Gas,Water,Tubing,Casing,Remarks,Date
CROC 1H, 24:00,6.66,7.79,6.67,270,70, 12on/12off  6.5spm, 2021-04-18
GALAH 3H, 24:00,36.76,46.95,16.67,100,80, , 2021-04-18
GOANNA 1H, 24:00,17.15,11.57,3.75,125,80, , 2021-04-18
GREAT WHITE 1H, 24:00,37.5,60.08,20,125,90, , 2021-04-18
GREAT WHITE 2H, 24:00,30,41.75,5,125,90, , 2021-04-18
JAVELINA 1H, 24:00,20.02,14.89,6.67,130,80, , 2021-04-18
MANTA 1H, 24:00,34.88,36.84,13.25,200,80, , 2021-04-18
REEF 3H, 24:00,24.44,42.97,13.75,200,70, 6.5spm, 2021-04-18
RIDGEBACK 1H, 24:00,13.37,11.21,8.33,120,80, 7.1spm, 2021-04-18
SEA WASP 2H, 24:00,0,4.28,0,80,80, no pump action surged called in LTF, 2021-04-18
STINGRAY 2H, 24:00,25.06,28.12,15,200,80, 12hrs on/12hrs off  6.6spm., 2021-04-18
THORNY DEVIL 1H, 24:00,36.88,99.69,18.33,180,100, , 2021-04-18
THORNY DEVIL 2H, 24:00,38.31,108.7,23.33,180,100, , 2021-04-18
THORNY DEVIL 3H, 24:00,11.71,29.45,5,150,80, , 2021-04-18
WOMBAT 2H, 24:00,20.04,30.43,16.66,140,80, , 2021-04-18
Summary,,352.78,574.72,172.41,,,, 2021-04-18
CROC 1H, 24:00,26.61,22.31,18.75,270,70, 12on/12off  6.5spm, 2021-04-17
GALAH 3H, 24:00,33.42,47.77,16.66,100,80, , 2021-04-17
GOANNA 1H, 24:00,19.24,15.39,6.66, -,15, , 2021-04-17
GREAT WHITE 1H, 24:00,60,61,34,125,90, , 2021-04-17
GREAT WHITE 2H, 24:00,40,69,20,125,90, , 2021-04-17
JAVELINA 1H, 24:00,20,15,6.66,130,80, , 2021-04-17
MANTA 1H, 24:00,16.75,28.06,15.35,200,80, , 2021-04-17
REEF 3H, 24:00,33.34,41.47,16.25,200,70, 6.5spm, 2021-04-17
RIDGEBACK 1H, 24:00,16.71,12,3.33,120,80, 7.1spm, 2021-04-17
SEA WASP 2H, 24:00,5.02,26.18,0,100,80, , 2021-04-17
STINGRAY 2H, 24:00,13.37,6,1.67,200,80, 12hrs on/12hrs off  6.6spm., 2021-04-17
THORNY DEVIL 1H, 24:00,28.69,98.08,16.67,180,100, , 2021-04-17
THORNY DEVIL 2H, 24:00,41.71,107.87,26.67,180,100, , 2021-04-17
THORNY DEVIL 3H, 24:00,9.85,30.19,3.34,150,80, , 2021-04-17
WOMBAT 2H, 24:00,16.7,31,15,140,80, , 2021-04-17
Summary,,381.41,611.32,201.01,,,, 2021-04-17
CROC 1H, 24:00,4.99,5.34,0,270, -, 12on/12off  6.5spm, 2021-04-16
GALAH 3H, 24:00,36.35,48.7,14.59,150,80, , 2021-04-16
GOANNA 1H, 24:00,14.2,13.53,13.33, -,15, , 2021-04-16
GREAT WHITE 1H, 24:00,63.34,77,23.34,125,90, , 2021-04-16
GREAT WHITE 2H, 24:00,50,44,15,125,90, , 2021-04-16
JAVELINA 1H, 24:00,18.34,15,8.34,130,80, , 2021-04-16
MANTA 1H, 24:00,34.88,34.54,13.25,200,80, , 2021-04-16
REEF 3H, 24:00,21.63,28.25,2.08,200,70, 6.5spm, 2021-04-16
RIDGEBACK 1H, 24:00,16.71,11,1.67,120,80, 7.1spm, 2021-04-16
SEA WASP 2H, 24:00,8.35,20.87,3.33,120,80, chemical treat, 2021-04-16
STINGRAY 2H, 24:00,16.71,10,1.67,200,80, 12hrs on/12hrs off  6.6spm., 2021-04-16
THORNY DEVIL 1H, 24:00,44.47,105.58,22.92,180,100, chemical treat, 2021-04-16
THORNY DEVIL 2H, 24:00,39.59,109.69,19.58,180,100, chemical treat, 2021-04-16
THORNY DEVIL 3H, 24:00,20.13,33,4.17,150,80, chemical treat, 2021-04-16
WOMBAT 2H, 24:00,16.28,31,10.84,140,80, , 2021-04-16
Summary,,405.97,587.5,154.11,,,, 2021-04-16
CROC 1H, 24:00,14.97,5.5,1.24,240,70, 12on/12off  6.5spm, 2021-04-15
GALAH 3H, 24:00,30.19,49.25,15.83,150,80, , 2021-04-15
GOANNA 1H, 24:00,20.08,12.46,10,200,80, Chemical treat, 2021-04-15
GREAT WHITE 1H, 24:00,48.33,85.87,61.67,125,90, , 2021-04-15
GREAT WHITE 2H, 24:00,42.77,67,20,125,90, , 2021-04-15
JAVELINA 1H, 24:00,18.76,15.23,5,130,80, , 2021-04-15
MANTA 1H, 24:00,23.74,28.03,16.04,200,80, , 2021-04-15
REEF 3H, 24:00,24.94,31.88,5.83,200,70, 6.5spm, 2021-04-15
RIDGEBACK 1H, 24:00,17.55,11.76,0,120,80, 7.1spm, 2021-04-15
SEA WASP 2H, 24:00,13.37,38.45,3.33,120,80, , 2021-04-15
STINGRAY 2H, 24:00,30.07,30.2,15,200,80, 12hrs on/12hrs off  6.6spm., 2021-04-15
THORNY DEVIL 1H, 24:00,39.07,105.16,19.16,180,100, , 2021-04-15
THORNY DEVIL 2H, 24:00,46.67,111.84,20.84,180,100, , 2021-04-15
THORNY DEVIL 3H, 24:00,22.98,32.5,11.25,150,80, , 2021-04-15
WOMBAT 2H, 24:00,17.96,30.71,15,140,80, , 2021-04-15
Summary,,411.45,655.84,220.19,,,, 2021-04-15
